Diphtheria, Malta, 0
Japanese encephalitis, Malta, 0
Diphtheria, Mongolia, 0
Diphtheria, Malawi, 0
Measles, Malawi, 118712
Japanese encephalitis, Niger, 0
Diphtheria, Norway, 0
Measles, Norway, 3
Japanese encephalitis, New Zealand, 0
Measles, New Zealand, 43
Diphtheria, Oman, 0
Diphtheria, Panama, 0
Measles, Panama, 0
Diphtheria, Papua New Guinea, 0
Diphtheria, Paraguay, 0
Measles, Paraguay, 0
Measles, Singapore, 50
Diphtheria, Suriname, 0
Diphtheria, Slovakia, 0
Measles, Slovenia, 2
Measles, Syria, 26
Diphtheria, Tajikistan, 0
Diphtheria, Turkmenistan, 2
Diphtheria, Tonga, 0
Measles, Tuvalu, 0
Measles, Uruguay, 0
Japanese encephalitis, Uzbekistan, 0
Measles, Uzbekistan, 117
Measles, Yemen, 510
Diphtheria, Zambia, 0
Measles, Zambia, 15754
Mumps, Armenia, 38
Pertussis, Armenia, 4
Pertussis, Azerbaijan, 15
Pertussis, Bulgaria, 54
Mumps, Belarus, 88
Pertussis, Belarus, 112
Pertussis, Brazil, 477
Pertussis, China, 1764
Pertussis, Colombia, 344
Mumps, Comoros, 0
Mumps, Cyprus, 2
Pertussis, Cyprus, 0
Mumps, Czech Republic, 1068
Mumps, Dominican Republic, 0
Pertussis, Eritrea, 11
Pertussis, Finland, 336
Mumps, Fiji, 0
Plague, Fiji, 0
Mumps, Georgia, 101
Pertussis, Georgia, 49
Mumps, Ghana, 3780
Pertussis, Ghana, 63
Pertussis, Guinea-Bissau, 0
Pertussis, Guyana, 0
Mumps, Honduras, 172
Pertussis, Iran, 464
Pertussis, Israel, 1244
Mumps, Italy, 530
Pertussis, Italy, 187
Pertussis, Japan, 5406
Mumps, Kazakhstan, 82
Mumps, Lesotho, 0
Pertussis, Latvia, 9
Mumps, Montenegro, 13
Pertussis, Malawi, 0
Pertussis, Malaysia, 41
Mumps, Namibia, 0
Mumps, Niue, 1
Pertussis, Papua New Guinea, 4949
Plague, Papua New Guinea, 0
Mumps, Paraguay, 132
Mumps, Qatar, 151
Pertussis, Russian Federation, 4795
Pertussis, Saudi Arabia, 0
Plague, Solomon Islands, 0
Mumps, El Salvador, 369
Pertussis, El Salvador, 2
Mumps, Suriname, 0
Pertussis, Suriname, 0
Pertussis, Swaziland, 6
Pertussis, Thailand, 6
Mumps, Turkmenistan, 61
Pertussis, Trinidad and Tobago, 0
Pertussis, Tunisia, 4
Pertussis, United Republic of Tanzania, 0
Mumps, Venezuela, 3353
Pertussis, Venezuela, 0
Pertussis, Vietnam, 81
Plague, Samoa, 0
Tetanus, Afghanistan, 23
Rubella, Angola, 38
Neonatal tetanus, Angola, 13
Tetanus, United Arab Emirates, 4
Congenital Rubella Syndrome, Argentina, 0
Tetanus, Armenia, 3
Tetanus, Antigua and Barbuda, 0
Congenital Rubella Syndrome, Australia, 0
Rubella, Australia, 42
Neonatal tetanus, Australia, 0
Rubella, Azerbaijan, 1
Neonatal tetanus, Azerbaijan, 0
Neonatal tetanus, Burundi, 2
Congenital Rubella Syndrome, Belgium, 0
Tetanus, Burkina Faso, 74
Rubella, Bulgaria, 39
Rubella, Afghanistan, 501
Diphtheria, Albania, 0
Diphtheria, Algeria, 0
Measles, Algeria, 107
Tetanus, Andorra, 0
Measles, Angola, 2807
Mumps, Angola, 0
Tetanus, Angola, 675
Tetanus, Antigua and Barbuda, 0
Yellow fever, Antigua and Barbuda, 0
Diphtheria, Argentina, 0
Measles, Argentina, 3
Yellow fever, Argentina, 0
Diphtheria, Austria, 0
Japanese encephalitis, Austria, 0
Diphtheria, Bahamas, 0
Neonatal tetanus, Bahamas, 0
Tetanus, Bahamas, 0
Diphtheria, Bahrain, 0
Tetanus, Bahrain, 0
Tetanus, Bangladesh, 791
Neonatal tetanus, Barbados, 0
Tetanus, Barbados, 2
Pertussis, Belarus, 93
Neonatal tetanus, Belarus, 0
Tetanus, Belarus, 1
Pertussis, Belize, 0
Congenital Rubella Syndrome, Belize, 0
Rubella, Benin, 15
Rubella, Bhutan, 15
Congenital Rubella Syndrome, Bolivia, 0
Neonatal tetanus, Bolivia, 1
Rubella, Botswana, 1
Tetanus, Botswana, 0
Yellow fever, Brazil, 46
Rubella, Brunei Darussalam, 1
Pertussis, Bulgaria, 251
Rubella, Bulgaria, 44
Pertussis, Burkina Faso, 68
Pertussis, Burundi, 0
Congenital Rubella Syndrome, Burundi, 0
H5N1 influenza, Cambodia, 1
Measles, Cambodia, 4779
Measles, Cameroon, 251
Pertussis, Canada, 1667
Congenital Rubella Syndrome, Canada, 1
Rubella, Canada, 7
Diphtheria, Central African Republic, 0
Meningitis, Central African Republic, 475
Diphtheria, China, 0
Diphtheria, Colombia, 0
Yellow fever, Colombia, 5
Congenital Rubella Syndrome, Cook Islands, 0
Mumps, Croatia, 56
Rubella, Croatia, 0
Measles, Cuba, 0
Pertussis, Cuba, 0
Diphtheria, Czech Republic, 0
Yellow fever, Czech Republic, 0
Tetanus, Democratic Republic of the Congo, 1368
Measles, Denmark, 6
Diphtheria, Djibouti, 0
Japanese encephalitis, Djibouti, 0
Pertussis, Djibouti, 0
Diphtheria, Dominica, 0
Diphtheria, Dominican Republic, 5
Tetanus, Egypt, 11
Mumps, El Salvador, 126
Measles, Equatorial Guinea, 78
Neonatal tetanus, Equatorial Guinea, 2
